Event Number,trial_type,onset,duration
1,Event,0,8
2,,,
3,Social,16,8
4,Social,24,8
5,Social,32,8
6,Event,40,8
7,,,
8,Social,56,8
9,Social,64,8
10,Event,72,8
11,School,80,8
12,,,
13,Career,96,8
14,Social,104,8
15,Social,112,8
16,School,120,8
17,,,
18,Career,136,8
19,School,144,8
20,,152,8
21,Social,160,8
22,Career,168,8
23,Career,176,8
24,Social,184,8
25,Event,192,8
26,Social,200,8
27,School,208,8
28,School,216,8
29,,,
30,School,232,8
31,Social,240,8
32,School,248,8
33,,,
34,Career,264,8
35,Event,272,8
36,,,
37,Social,288,8
38,Social,296,8
39,Event,304,8
40,School,312,8
41,School,320,8
42,School,328,8
43,,,
44,Career,344,8
45,Social,352,8
46,School,360,8
47,social,368,8
48,Social,376,8
49,School,384,8
50,School,392,8
51,Career,400,8
52,Event,408,8
53,Event,416,8
54,Social,424,8
55,,,
56,,,
57,Career,448,8
58,Career,456,8
59,Career,464,8
60,,,
61,Social,480,8
62,Social,488,8
63,Social,496,8
64,Social,504,8
65,Social,512,8
66,School,520,8
67,Social,528,8
68,,,
69,,,
70,,,
71,School,560,8
72,Event,568,8
73,Event,576,8
74,Social,584,8
75,Social,592,8
