Event Number,trial_type,onset,duration
1,School,0,8
2,School,8,8
3,Career,16,8
4,Career,24,8
5,Career,32,8
6,,,
7,Event,48,8
8,Social,56,8
9,Event,64,8
10,Event,72,8
11,,,
12,Event,88,8
13,Event,96,8
14,Event,104,8
15,Social,112,8
16,,,
17,Social,128,8
18,Social,136,8
19,,,
20,Event,152,8
21,School,160,8
22,Social,168,8
23,Social,176,8
24,Event,184,8
25,Social,192,8
26,,,
27,Social,208,8
28,Career,216,8
29,Career,224,8
30,Career,232,8
31,Career,240,8
32,,,
33,Social,256,8
34,,,
35,Event,272,8
36,,,
37,,,
38,Social,296,8
39,Social,304,8
40,Social,312,8
41,Career,320,8
42,School,328,8
43,Social,336,8
44,Event,344,8
45,Social,352,8
46,Social,360,8
47,School,368,8
48,School,376,8
49,,,
50,Social,392,8
51,,,
52,School,408,8
53,Event,416,8
54,School,424,8
55,Social,432,8
56,Social,440,8
57,School,448,8
58,Social,456,8
59,,,
60,School,472,8
61,Career,480,8
62,Social,488,8
63,Social,496,8
64,,,
65,Social,512,8
66,,,
67,School,528,8
68,Social,536,8
69,Social,544,8
70,School,552,8
71,School,560,8
72,School,568,8
73,Career,576,8
74,School,584,8
75,,,
